seq,M,N,K,path,site,kernel,threadgroups,tg_per_core,gflop,ms_raw_mean,ms_raw_sd,ms
92,512,1024,2048,splitk,"attn wk / wv  (K and V projections, all 40 layers)",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,1024,51.2,2.1475,0.3408331947866827,0.0008554404557598702,0.33479153814963275
93,512,1024,2048,splitk,"attn wk / wv  (K and V projections, all 40 layers)",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,1024,51.2,2.1475,0.3399418026674539,0.0009591572516989875,0.3339159469711448
94,512,8192,2048,regular,"attn wq, sliding-window layers + layer-0 dense gate/up",steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2,1024,51.2,17.1799,2.3361416067928076,0.0013664859458662017,2.2947308356013396
95,512,64,2048,splitk,"attn g_proj (per-head gate), sliding-window layers",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,128,6.4,0.1342,0.03455840051174164,0.0001733582072930825,0.033945813495537804
96,512,2048,8192,regular,"attn wo, sliding-window layers + layer-0 dense down",steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2,256,12.8,17.1799,2.4442584079224616,0.0026674159539246,2.400931143269932
97,512,256,2048,splitk,MoE router logits GEMM (38 MoE layers),steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,256,12.8,0.5369,0.1027332036755979,0.0003467219935294925,0.10091214061212328
98,512,1024,2048,splitk,"attn wk / wv  (K and V projections, all 40 layers)",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,1024,51.2,2.1475,0.3398168017156422,0.0010042640409417423,0.3337931618035986
99,512,1024,2048,splitk,"attn wk / wv  (K and V projections, all 40 layers)",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,1024,51.2,2.1475,0.34063339116983116,0.0005523511695101204,0.3345952762794958
100,512,6144,2048,regular,"attn wq, full-attention layers",steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2,768,38.4,12.8849,1.765608397545293,0.0005175200506198909,1.734310977409508
101,512,48,2048,splitk,"attn g_proj (per-head gate), full-attention layers",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_naligned_K_taligned,128,6.4,0.1007,0.03554160357452929,0.0003294390700639831,0.03491158816402373
102,512,2048,6144,regular,"attn wo, full-attention layers",steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2,256,12.8,12.8849,1.8449999915901572,0.0008089075971867914,1.8122952650111503
103,512,256,2048,splitk,MoE router logits GEMM (38 MoE layers),steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,256,12.8,0.5369,0.10208340245299041,0.0006323408823791246,0.10027385785640627
104,512,1024,2048,splitk,"attn wk / wv  (K and V projections, all 40 layers)",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,1024,51.2,2.1475,0.33890819759108126,0.0018377539930165034,0.3329006637221801
105,512,1024,2048,splitk,"attn wk / wv  (K and V projections, all 40 layers)",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,1024,51.2,2.1475,0.33917499240487814,0.0017708207234156008,0.3331627292939836
106,512,8192,2048,regular,"attn wq, sliding-window layers + layer-0 dense gate/up",steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2,1024,51.2,17.1799,2.339216595282778,0.0007863453345753678,2.2977513164174583
107,512,64,2048,splitk,"attn g_proj (per-head gate), sliding-window layers",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,128,6.4,0.1342,0.03505839849822223,0.00029556998419647803,0.034436948448136315
