comparison,family,order,quartet,position,arm,mode,request_id,wall_ns,profile_ns,profile_count,eval_ns,token
empty_control,ordinary_layers,BAAB,15,0,B,empty,199,547747959,83.33333333333333,39,143205166.66666666,5991
empty_control,ordinary_layers,BAAB,15,1,A,off,200,546499416,0.0,0,143103083.33333334,5991
empty_control,ordinary_layers,BAAB,15,2,A,off,201,547602917,0.0,0,142650875.0,5991
empty_control,ordinary_layers,BAAB,15,3,B,empty,202,547361583,166.66666666666666,39,143286166.66666666,5991
empty_control,ordinary_layers,BAAB,16,0,B,empty,203,547224833,291.6666666666667,39,143045833.33333334,5991
empty_control,ordinary_layers,BAAB,16,1,A,off,204,546842084,0.0,0,143187500.0,5991
empty_control,ordinary_layers,BAAB,16,2,A,off,205,547669000,0.0,0,143428875.0,5991
empty_control,ordinary_layers,BAAB,16,3,B,empty,206,548247834,333.3333333333333,39,143537250.0,5991
empty_control,ordinary_layers,BAAB,17,0,B,empty,207,547629708,41.666666666666664,39,143535083.33333334,5991
empty_control,ordinary_layers,BAAB,17,1,A,off,208,547359416,0.0,0,143546625.0,5991
empty_control,ordinary_layers,BAAB,17,2,A,off,209,547502583,0.0,0,143164458.33333334,5991
empty_control,ordinary_layers,BAAB,17,3,B,empty,210,547063834,166.66666666666666,39,143258500.0,5991
empty_control,ordinary_layers,BAAB,18,0,B,empty,211,547497208,333.3333333333333,39,143490458.33333334,5991
empty_control,ordinary_layers,BAAB,18,1,A,off,212,547252375,0.0,0,143024791.66666666,5991
empty_control,ordinary_layers,BAAB,18,2,A,off,213,548097833,0.0,0,143372208.33333334,5991
empty_control,ordinary_layers,BAAB,18,3,B,empty,214,547411834,208.33333333333334,39,143157250.0,5991
empty_control,ordinary_layers,BAAB,19,0,B,empty,215,547241875,333.3333333333333,39,143424958.33333334,5991
empty_control,ordinary_layers,BAAB,19,1,A,off,216,546550459,0.0,0,143276375.0,5991
empty_control,ordinary_layers,BAAB,19,2,A,off,217,548200875,0.0,0,143384375.0,5991
empty_control,ordinary_layers,BAAB,19,3,B,empty,218,546961417,250.0,39,143222208.33333334,5991
empty_control,ordinary_layers,BAAB,20,0,B,empty,219,547422416,208.33333333333334,39,143211750.0,5991
empty_control,ordinary_layers,BAAB,20,1,A,off,220,547234542,0.0,0,143433291.66666666,5991
empty_control,ordinary_layers,BAAB,20,2,A,off,221,547716333,0.0,0,143073000.0,5991
empty_control,ordinary_layers,BAAB,20,3,B,empty,222,546907125,208.33333333333334,39,143326125.0,5991
empty_control,ordinary_layers,BAAB,21,0,B,empty,223,547160833,458.3333333333333,39,143107958.33333334,5991
empty_control,ordinary_layers,BAAB,21,1,A,off,224,546952750,0.0,0,143203291.66666666,5991
empty_control,ordinary_layers,BAAB,21,2,A,off,225,546646000,0.0,0,143483125.0,5991
empty_control,ordinary_layers,BAAB,21,3,B,empty,226,547169291,83.33333333333333,39,143501750.0,5991
empty_control,ordinary_layers,BAAB,22,0,B,empty,227,547211125,83.33333333333333,39,143451166.66666666,5991
empty_control,ordinary_layers,BAAB,22,1,A,off,228,547485792,0.0,0,143780083.33333334,5991
empty_control,ordinary_layers,BAAB,22,2,A,off,229,547389792,0.0,0,143728750.0,5991
empty_control,ordinary_layers,BAAB,22,3,B,empty,230,547778875,83.33333333333333,39,143245708.33333334,5991
